Date,Open,High,Low,Close
1994-10-20,0.0,22.75,21.75,22.25
1994-10-21,0.0,22.25,21.25,21.75
1994-10-24,0.0,22.5,21.75,22.25
1994-10-25,0.0,22.0,20.75,21.5
1994-10-26,0.0,22.0,21.0,21.88
1994-10-27,0.0,22.0,21.5,21.75
1994-10-28,0.0,22.5,21.75,22.5
1994-10-31,0.0,22.5,21.75,22.0
1994-11-01,0.0,22.25,21.75,22.0
1994-11-02,0.0,22.25,21.75,22.0
1994-11-03,0.0,22.25,21.5,21.88
1994-11-04,0.0,22.0,21.25,21.25
1994-11-07,0.0,21.75,21.0,21.0
1994-11-08,0.0,21.75,21.0,21.75
1994-11-09,0.0,21.75,21.25,21.75
1994-11-10,0.0,21.75,21.25,21.5
1994-11-11,0.0,21.75,21.25,21.38
1994-11-14,0.0,21.5,20.75,21.5
1994-11-15,0.0,21.5,20.25,21.5
1994-11-16,0.0,21.25,20.0,20.0
1994-11-17,0.0,20.0,19.0,19.5
1994-11-18,0.0,20.0,19.25,19.5
1994-11-21,0.0,19.75,18.25,18.5
1994-11-22,0.0,18.5,17.5,17.75
1994-11-23,0.0,18.75,17.5,18.75
1994-11-25,0.0,19.25,18.5,19.0
1994-11-28,0.0,19.5,18.75,19.0
1994-11-29,0.0,19.25,19.0,19.06
1994-11-30,0.0,19.5,18.5,18.88
1994-12-01,0.0,19.25,18.5,18.75
1994-12-02,0.0,19.25,18.75,19.0
1994-12-05,0.0,19.25,18.75,18.88
1994-12-06,0.0,19.0,17.75,18.0
1994-12-07,0.0,18.5,17.5,18.0
1994-12-08,0.0,18.5,17.5,17.75
1994-12-09,0.0,18.25,17.5,18.25
1994-12-12,0.0,18.5,17.5,18.5
1994-12-13,0.0,19.0,18.25,18.5
1994-12-14,0.0,18.75,18.25,18.75
1994-12-15,0.0,19.75,18.5,19.25
1994-12-16,0.0,19.5,19.0,19.0
1994-12-19,0.0,24.0,17.5,17.75
1994-12-20,0.0,18.75,18.0,18.25
1994-12-21,0.0,18.5,17.5,18.12
1994-12-22,0.0,18.25,17.75,18.25
1994-12-23,0.0,18.25,18.0,18.25
1994-12-27,0.0,18.25,17.75,18.0
1994-12-28,0.0,18.25,17.5,17.5
1994-12-29,0.0,18.0,17.5,18.0
1994-12-30,0.0,18.75,17.75,18.5
1995-01-03,0.0,18.5,17.75,18.0
1995-01-04,0.0,18.5,17.75,18.25
1995-01-05,0.0,18.5,17.75,18.0
1995-01-06,0.0,19.25,18.25,18.75
1995-01-09,0.0,19.5,18.5,19.5
1995-01-10,0.0,20.25,19.0,19.5
1995-01-11,0.0,20.0,19.0,19.5
1995-01-12,0.0,19.5,18.75,19.5
1995-01-13,0.0,19.5,19.0,19.25
1995-01-16,0.0,20.25,19.0,20.0
1995-01-17,0.0,21.25,19.75,21.0
1995-01-18,0.0,21.25,20.25,20.25
1995-01-19,0.0,20.5,19.75,20.25
1995-01-20,0.0,20.25,19.75,20.0
1995-01-23,0.0,21.0,19.5,20.75
1995-01-24,0.0,21.25,20.75,21.0
1995-01-25,0.0,21.25,20.5,21.0
1995-01-26,0.0,21.0,20.25,20.62
1995-01-27,0.0,21.25,20.5,20.75
1995-01-30,0.0,21.5,20.75,21.0
1995-01-31,0.0,22.25,21.5,22.0
1995-02-01,0.0,22.5,21.75,21.75
1995-02-02,0.0,22.75,21.5,22.38
1995-02-03,0.0,23.0,22.5,22.75
1995-02-06,0.0,23.25,22.5,23.25
1995-02-07,0.0,23.5,22.75,22.75
1995-02-08,0.0,23.0,22.0,22.25
1995-02-09,0.0,22.75,22.0,22.25
1995-02-10,0.0,22.75,22.0,22.75
1995-02-13,0.0,23.0,22.25,22.5
1995-02-14,0.0,23.0,21.75,21.75
1995-02-15,0.0,23.5,21.75,23.0
1995-02-16,0.0,23.25,22.5,23.25
1995-02-17,0.0,23.5,22.75,22.75
1995-02-21,0.0,23.38,22.75,23.0
1995-02-22,0.0,23.25,22.75,22.88
1995-02-23,0.0,23.75,22.75,23.75
1995-02-24,0.0,23.5,23.0,23.0
1995-02-27,0.0,23.25,22.25,22.75
1995-02-28,0.0,22.75,22.25,22.69
1995-03-01,0.0,23.0,22.5,22.5
1995-03-02,0.0,22.75,22.0,22.62
1995-03-03,0.0,23.0,22.25,22.75
1995-03-06,0.0,23.0,22.25,23.0
1995-03-07,0.0,23.0,22.25,22.5
1995-03-08,0.0,23.0,22.5,22.75
1995-03-09,0.0,22.75,21.75,22.25
1995-03-10,0.0,22.25,21.25,21.75
1995-03-13,0.0,21.5,20.5,21.0
1995-03-14,0.0,21.75,20.75,21.25
1995-03-15,0.0,21.25,20.75,20.75
1995-03-16,0.0,22.25,20.75,22.0
1995-03-17,0.0,22.25,21.5,21.73
1995-03-20,0.0,22.0,21.25,21.38
1995-03-21,0.0,21.75,21.25,21.5
1995-03-22,0.0,21.75,20.75,21.25
1995-03-23,0.0,21.25,20.5,21.0
1995-03-24,0.0,21.25,20.5,21.12
1995-03-27,0.0,21.75,21.0,21.25
1995-03-28,0.0,22.25,21.25,21.75
1995-03-29,0.0,23.0,21.62,22.5
1995-03-30,0.0,23.25,22.62,23.0
1995-03-31,0.0,23.0,22.25,22.38
1995-04-03,0.0,22.5,22.0,22.12
1995-04-04,0.0,22.25,21.88,22.0
1995-04-05,0.0,22.25,22.0,22.12
1995-04-06,0.0,22.25,21.75,21.75
1995-04-07,0.0,22.0,21.25,21.75
1995-04-10,0.0,22.12,21.5,22.12
1995-04-11,0.0,22.38,22.0,22.06
1995-04-12,0.0,22.25,22.0,22.12
1995-04-13,0.0,22.5,22.0,22.25
1995-04-17,0.0,22.75,22.25,22.25
1995-04-18,0.0,22.38,21.12,21.25
1995-04-19,0.0,21.5,21.0,21.0
1995-04-20,0.0,21.25,20.75,21.12
1995-04-21,0.0,21.38,21.0,21.25
1995-04-24,0.0,21.25,20.75,21.12
1995-04-25,0.0,21.12,20.75,21.0
1995-04-26,0.0,21.0,20.88,21.0
1995-04-27,0.0,21.25,20.88,21.0
1995-04-28,0.0,21.38,20.88,21.25
1995-05-01,0.0,21.25,21.0,21.0
1995-05-02,0.0,21.12,20.75,21.12
1995-05-03,0.0,21.25,20.88,21.25
1995-05-04,0.0,21.5,21.12,21.12
1995-05-05,0.0,21.62,21.12,21.38
1995-05-08,0.0,21.88,21.12,21.75
1995-05-09,0.0,22.38,21.75,22.12
1995-05-10,0.0,22.38,21.88,21.88
1995-05-11,0.0,23.25,22.0,23.0
1995-05-12,0.0,23.75,22.75,23.5
1995-05-15,0.0,23.75,23.38,23.75
1995-05-16,0.0,23.88,22.62,23.75
1995-05-17,0.0,24.25,23.38,23.62
1995-05-18,0.0,23.62,23.0,23.0
1995-05-19,0.0,23.12,22.38,22.62
1995-05-22,0.0,23.5,22.19,23.5
1995-05-23,0.0,23.62,22.75,22.88
1995-05-24,0.0,23.25,22.88,23.06
1995-05-25,0.0,23.5,23.0,23.5
1995-05-26,0.0,24.0,23.25,23.75
1995-05-30,0.0,24.25,23.75,24.12
1995-05-31,0.0,24.38,23.88,24.38
1995-06-01,0.0,24.62,23.25,23.5
1995-06-02,0.0,23.5,23.12,23.25
1995-06-05,0.0,23.62,23.25,23.5
1995-06-06,0.0,23.62,23.0,23.0
1995-06-07,0.0,23.12,22.88,23.0
1995-06-08,0.0,23.12,22.88,23.12
1995-06-09,0.0,23.12,22.62,22.62
1995-06-12,0.0,23.12,22.62,23.0
1995-06-13,0.0,23.0,22.62,22.88
1995-06-14,0.0,22.75,22.25,22.5
1995-06-15,0.0,22.75,22.38,22.38
1995-06-16,0.0,22.75,22.38,22.62
1995-06-19,0.0,23.12,22.38,23.12
1995-06-20,0.0,23.25,22.88,23.12
1995-06-21,0.0,23.12,22.5,22.5
1995-06-22,0.0,22.75,22.38,22.75
1995-06-23,0.0,22.88,22.5,22.88
1995-06-26,0.0,22.88,22.5,22.75
1995-06-27,0.0,22.88,21.88,22.0
1995-06-28,0.0,21.25,20.25,20.88
1995-06-29,0.0,20.88,20.62,20.75
1995-06-30,0.0,20.88,20.5,20.62
1995-07-03,0.0,20.88,20.5,20.62
1995-07-05,0.0,20.75,20.5,20.5
1995-07-06,0.0,20.88,20.5,20.75
1995-07-07,0.0,22.88,20.75,22.38
1995-07-10,0.0,22.38,22.0,22.0
1995-07-11,0.0,22.25,22.0,22.12
1995-07-12,0.0,22.62,22.38,22.5
1995-07-13,0.0,22.62,21.75,21.88
1995-07-14,0.0,21.88,21.5,21.88
1995-07-17,0.0,21.88,21.5,21.5
1995-07-18,0.0,21.75,20.75,21.06
1995-07-19,0.0,21.12,20.38,20.62
1995-07-20,0.0,20.75,19.88,20.5
1995-07-21,0.0,21.38,20.5,21.25
1995-07-24,0.0,21.38,20.88,20.88
1995-07-25,0.0,21.12,20.88,21.12
1995-07-26,0.0,21.5,21.0,21.0
1995-07-27,0.0,21.25,20.75,20.88
1995-07-28,0.0,21.0,20.75,20.88
1995-07-31,0.0,21.0,20.62,21.0
1995-08-01,0.0,21.0,20.5,20.75
1995-08-02,0.0,21.12,20.88,20.88
1995-08-03,0.0,21.0,20.62,20.69
1995-08-04,0.0,21.0,20.62,21.0
1995-08-07,0.0,21.12,20.5,20.75
1995-08-08,0.0,20.88,20.5,20.62
1995-08-09,0.0,20.62,19.88,20.12
1995-08-10,0.0,20.12,19.62,19.75
1995-08-11,0.0,19.88,19.62,19.75
1995-08-14,0.0,20.5,19.62,20.5
1995-08-15,0.0,20.75,20.25,20.31
1995-08-16,0.0,21.0,20.38,20.94
1995-08-17,0.0,21.25,21.0,21.25
1995-08-18,0.0,21.5,21.12,21.25
1995-08-21,0.0,21.5,21.12,21.38
1995-08-22,0.0,21.5,20.88,21.0
1995-08-23,0.0,21.12,20.88,21.12
1995-08-24,0.0,21.12,20.88,21.06
1995-08-25,0.0,21.5,20.88,21.25
1995-08-28,0.0,21.5,20.88,20.88
1995-08-29,0.0,21.0,20.5,20.62
1995-08-30,0.0,20.62,20.12,20.31
1995-08-31,0.0,20.5,20.12,20.38
1995-09-01,0.0,20.5,19.88,20.12
1995-09-05,0.0,20.25,19.88,20.25
1995-09-06,0.0,20.25,19.12,19.25
1995-09-07,0.0,20.12,18.88,19.0
1995-09-08,0.0,19.5,19.0,19.38
1995-09-11,0.0,20.0,19.38,19.62
1995-09-12,0.0,19.88,19.5,19.75
1995-09-13,0.0,19.88,19.5,19.69
1995-09-14,0.0,19.88,19.5,19.88
1995-09-15,0.0,20.0,19.5,19.75
1995-09-18,0.0,20.0,19.62,19.88
1995-09-19,0.0,20.25,19.75,20.25
1995-09-20,0.0,20.75,20.12,20.62
1995-09-21,0.0,20.88,20.5,20.62
1995-09-22,0.0,20.88,20.5,20.88
1995-09-25,0.0,20.88,20.38,20.56
1995-09-26,0.0,20.62,20.12,20.12
1995-09-27,0.0,20.12,19.62,20.12
1995-09-28,0.0,20.5,20.0,20.5
1995-09-29,0.0,20.62,20.12,20.12
1995-10-02,0.0,20.25,19.62,19.69
1995-10-03,0.0,19.88,19.0,19.25
1995-10-04,0.0,19.25,19.0,19.25
1995-10-05,0.0,19.38,19.0,19.25
1995-10-06,0.0,19.25,19.0,19.12
1995-10-09,0.0,19.0,18.38,18.5
1995-10-10,0.0,19.25,18.38,19.0
1995-10-11,0.0,19.62,19.25,19.38
1995-10-12,0.0,19.5,18.62,18.88
1995-10-13,0.0,19.0,18.38,18.38
1995-10-16,0.0,18.75,18.38,18.62
1995-10-17,0.0,18.75,18.38,18.5
1995-10-18,0.0,18.75,18.25,18.5
1995-10-19,0.0,18.62,18.38,18.38
1995-10-20,0.0,18.62,18.25,18.5
1995-10-23,0.0,18.5,18.25,18.5
1995-10-24,0.0,18.5,18.0,18.0
1995-10-25,0.0,18.38,18.0,18.25
1995-10-26,0.0,18.5,18.0,18.0
1995-10-27,0.0,18.12,17.38,17.62
1995-10-30,0.0,17.75,17.25,17.62
1995-10-31,0.0,17.62,17.0,17.0
1995-11-01,0.0,17.12,16.38,16.88
1995-11-02,0.0,16.88,15.75,16.12
1995-11-03,0.0,17.0,16.12,16.88
1995-11-06,0.0,17.38,16.75,16.88
1995-11-07,0.0,17.5,16.88,17.25
1995-11-08,0.0,18.0,17.25,18.0
1995-11-09,0.0,18.0,17.75,18.0
1995-11-10,0.0,18.0,17.5,17.5
1995-11-13,0.0,17.75,17.25,17.38
1995-11-14,0.0,17.38,16.88,16.88
1995-11-15,0.0,17.0,16.62,16.88
1995-11-16,0.0,17.0,16.62,16.75
1995-11-17,0.0,17.62,16.75,17.62
1995-11-20,0.0,18.12,17.5,17.62
1995-11-21,0.0,17.88,17.5,17.62
1995-11-22,0.0,18.0,17.5,17.88
1995-11-24,0.0,18.12,17.88,18.12
1995-11-27,0.0,18.25,17.62,17.88
1995-11-28,0.0,18.88,17.88,18.88
1995-11-29,0.0,19.12,18.75,19.12
1995-11-30,0.0,19.12,18.62,18.62
1995-12-01,0.0,19.0,18.62,18.75
1995-12-04,0.0,19.25,18.75,19.25
1995-12-05,0.0,19.25,18.88,18.88
1995-12-06,0.0,19.12,18.88,19.12
1995-12-07,0.0,19.12,18.38,18.5
1995-12-08,0.0,18.88,18.5,18.75
1995-12-11,0.0,18.75,18.25,18.25
1995-12-12,0.0,18.62,18.12,18.38
1995-12-13,0.0,18.5,18.12,18.25
1995-12-14,0.0,18.25,17.75,18.0
1995-12-15,0.0,18.0,17.62,17.75
1995-12-18,0.0,17.75,17.25,17.25
1995-12-19,0.0,18.0,17.12,18.0
1995-12-20,0.0,18.38,17.88,18.12
1995-12-21,0.0,18.5,17.75,18.12
1995-12-22,0.0,18.25,17.62,17.88
1995-12-26,0.0,17.88,17.38,17.38
1995-12-27,0.0,17.88,17.25,17.62
1995-12-28,0.0,17.75,17.38,17.38
1995-12-29,0.0,17.62,17.25,17.25
1996-01-02,0.0,17.75,17.25,17.62
1996-01-03,0.0,17.75,17.25,17.5
1996-01-04,0.0,17.75,17.38,17.5
1996-01-05,0.0,17.62,17.38,17.5
1996-01-08,0.0,17.5,17.12,17.38
1996-01-09,0.0,17.5,17.12,17.25
1996-01-10,0.0,17.38,17.0,17.12
1996-01-11,0.0,17.25,16.88,17.12
1996-01-12,0.0,17.38,17.0,17.12
1996-01-15,0.0,17.5,17.12,17.12
1996-01-16,0.0,17.38,17.0,17.12
1996-01-17,0.0,17.75,17.0,17.75
1996-01-18,0.0,18.12,17.5,18.12
1996-01-19,0.0,18.12,18.0,18.0
1996-01-22,0.0,18.12,17.88,18.0
1996-01-23,0.0,18.0,17.62,17.62
1996-01-24,0.0,18.12,17.62,18.0
1996-01-25,0.0,18.12,17.88,17.88
1996-01-26,0.0,18.12,17.88,18.12
1996-01-29,0.0,18.75,17.88,18.5
1996-01-30,0.0,19.5,18.75,19.38
1996-01-31,0.0,19.62,19.0,19.62
1996-02-01,0.0,19.88,19.38,19.75
1996-02-02,0.0,19.75,19.5,19.5
1996-02-05,0.0,20.12,19.62,20.12
1996-02-06,0.0,20.12,19.62,19.75
1996-02-07,0.0,20.0,19.5,19.5
1996-02-08,0.0,19.75,19.5,19.62
1996-02-09,0.0,19.62,19.38,19.38
1996-02-12,0.0,19.62,19.38,19.5
1996-02-13,0.0,19.5,19.25,19.25
1996-02-14,0.0,19.62,19.25,19.56
1996-02-15,0.0,21.25,20.25,21.12
1996-02-16,0.0,21.12,20.38,20.88
1996-02-20,0.0,20.62,20.12,20.5
1996-02-21,0.0,21.12,20.25,21.12
1996-02-22,0.0,21.5,21.0,21.25
1996-02-23,0.0,21.25,20.5,20.62
1996-02-26,0.0,21.12,20.62,20.88
1996-02-27,0.0,21.0,20.75,20.75
1996-02-28,0.0,21.12,20.75,20.88
1996-02-29,0.0,21.12,20.75,21.0
1996-03-01,0.0,21.25,21.0,21.0
1996-03-04,0.0,21.38,21.12,21.31
1996-03-05,0.0,21.75,21.12,21.75
1996-03-06,0.0,22.38,21.62,22.25
1996-03-07,0.0,22.88,22.25,22.75
1996-03-08,0.0,23.12,22.0,22.38
1996-03-11,0.0,23.62,22.25,23.5
1996-03-12,0.0,23.5,22.88,23.12
1996-03-13,0.0,23.62,23.0,23.62
1996-03-14,0.0,23.88,23.38,23.38
1996-03-15,0.0,23.75,23.38,23.75
1996-03-18,0.0,23.88,23.5,23.88
1996-03-19,0.0,23.88,23.25,23.38
1996-03-20,0.0,23.75,23.38,23.5
1996-03-21,0.0,23.62,23.25,23.38
1996-03-22,0.0,23.75,23.5,23.75
1996-03-25,0.0,23.88,23.5,23.62
1996-03-26,0.0,23.75,23.5,23.62
1996-03-27,0.0,23.75,23.25,23.5
1996-03-28,0.0,23.88,23.38,23.5
1996-03-29,0.0,23.62,23.12,23.25
1996-04-01,0.0,23.38,22.75,23.12
1996-04-02,0.0,23.38,22.88,23.25
1996-04-03,0.0,23.62,22.88,23.5
1996-04-04,0.0,24.25,23.62,23.75
1996-04-08,0.0,23.75,23.25,23.25
1996-04-09,0.0,23.75,22.88,23.5
1996-04-10,0.0,23.88,23.5,23.62
1996-04-11,0.0,23.88,23.25,23.38
1996-04-12,0.0,23.5,23.0,23.25
1996-04-15,0.0,23.88,23.0,23.88
1996-04-16,0.0,24.62,23.75,24.38
1996-04-17,0.0,24.38,23.5,23.69
1996-04-18,0.0,24.25,23.75,24.25
1996-04-19,0.0,24.62,24.0,24.38
1996-04-22,0.0,24.88,24.38,24.75
1996-04-23,0.0,24.88,24.62,24.75
1996-04-24,0.0,24.75,24.38,24.62
1996-04-25,0.0,24.62,23.5,23.5
1996-04-26,0.0,23.62,23.0,23.25
1996-04-29,0.0,23.5,23.25,23.5
1996-04-30,0.0,23.62,23.38,23.62
1996-05-01,0.0,23.88,23.25,23.88
1996-05-02,0.0,23.88,23.25,23.25
1996-05-03,0.0,23.38,22.75,22.88
1996-05-06,0.0,23.0,22.5,22.5
1996-05-07,0.0,22.75,22.25,22.25
1996-05-08,0.0,22.75,22.12,22.62
1996-05-09,0.0,23.12,22.62,22.88
1996-05-10,0.0,23.19,22.88,23.12
1996-05-13,0.0,23.25,22.75,23.0
1996-05-14,0.0,23.0,22.5,22.75
1996-05-15,0.0,22.62,22.12,22.25
1996-05-16,0.0,23.0,22.25,23.0
1996-05-17,0.0,24.12,22.75,24.0
1996-05-20,0.0,24.25,23.75,24.0
1996-05-21,0.0,24.25,23.88,23.88
1996-05-22,0.0,24.0,23.62,24.0
1996-05-23,0.0,24.0,23.75,24.0
1996-05-24,0.0,24.25,23.75,24.12
1996-05-28,0.0,25.12,24.12,25.0
1996-05-29,0.0,25.88,25.0,25.25
1996-05-30,0.0,25.5,25.25,25.5
1996-05-31,0.0,26.5,25.38,26.5
1996-06-03,0.0,26.5,25.5,25.88
1996-06-04,0.0,26.25,25.62,26.0
1996-06-05,0.0,27.38,25.88,27.0
1996-06-06,0.0,27.25,26.62,26.62
1996-06-07,0.0,26.5,25.62,25.88
1996-06-10,0.0,26.12,25.75,25.88
1996-06-11,0.0,27.12,26.12,26.94
1996-06-12,0.0,27.25,26.75,26.75
1996-06-13,0.0,27.0,26.0,26.12
1996-06-14,0.0,26.75,26.0,26.25
1996-06-17,0.0,26.5,26.0,26.19
1996-06-18,0.0,26.25,25.75,25.88
1996-06-19,0.0,26.25,25.62,26.0
1996-06-20,0.0,26.0,25.38,25.38
1996-06-21,0.0,25.62,25.0,25.38
1996-06-24,0.0,25.38,24.75,25.12
1996-06-25,0.0,25.0,24.38,24.38
1996-06-26,0.0,24.62,23.25,23.38
1996-06-27,0.0,23.75,23.25,23.5
1996-06-28,0.0,24.62,23.5,24.25
1996-07-01,0.0,24.25,23.88,24.0
1996-07-02,0.0,24.38,23.62,23.62
1996-07-03,0.0,23.88,23.12,23.25
1996-07-05,0.0,23.12,22.62,22.62
1996-07-08,0.0,22.88,22.38,22.62
1996-07-09,0.0,23.5,22.62,23.12
1996-07-10,0.0,23.12,22.62,22.62
1996-07-11,0.0,22.88,22.12,22.12
1996-07-12,0.0,22.38,21.88,21.88
1996-07-15,0.0,22.0,21.5,21.5
1996-07-16,0.0,21.62,19.38,21.06
1996-07-17,0.0,21.5,20.75,21.5
1996-07-18,0.0,22.0,21.38,22.0
1996-07-19,0.0,22.0,21.5,21.88
1996-07-22,0.0,22.0,21.75,22.0
1996-07-23,0.0,22.25,21.5,21.5
1996-07-24,0.0,21.5,20.62,21.0
1996-07-25,0.0,21.75,20.88,21.62
1996-07-26,0.0,21.62,21.38,21.5
1996-07-29,0.0,21.5,20.25,20.25
1996-07-30,0.0,20.75,20.25,20.5
1996-07-31,0.0,21.5,20.25,21.25
1996-08-01,0.0,21.88,21.25,21.88
1996-08-02,0.0,22.38,21.75,22.0
1996-08-05,0.0,22.25,21.75,21.88
1996-08-06,0.0,23.0,21.88,22.88
1996-08-07,0.0,22.88,22.25,22.88
1996-08-08,0.0,22.88,22.5,22.5
1996-08-09,0.0,23.62,22.5,22.88
1996-08-12,0.0,22.88,22.25,22.5
1996-08-13,0.0,22.38,22.12,22.12
1996-08-14,0.0,22.88,22.12,22.75
1996-08-15,0.0,23.12,22.5,22.88
1996-08-16,0.0,23.12,22.88,23.12
1996-08-19,0.0,23.12,22.62,22.75
1996-08-20,0.0,23.25,22.62,22.88
1996-08-21,0.0,23.5,22.75,23.5
1996-08-22,0.0,23.38,22.38,22.75
1996-08-23,0.0,22.75,22.38,22.38
1996-08-26,0.0,22.62,22.12,22.25
1996-08-27,0.0,22.75,22.25,22.75
1996-08-28,0.0,22.75,22.5,22.75
1996-08-29,0.0,23.75,22.5,23.12
1996-08-30,0.0,23.62,22.88,23.38
1996-09-03,0.0,23.75,23.0,23.62
1996-09-04,0.0,23.62,23.0,23.19
1996-09-05,0.0,23.12,22.62,22.62
1996-09-06,0.0,23.12,22.62,23.12
1996-09-09,0.0,23.75,22.75,23.62
1996-09-10,0.0,23.62,22.88,22.88
1996-09-11,0.0,23.62,22.75,23.25
1996-09-12,0.0,23.5,22.75,22.75
1996-09-13,0.0,23.75,22.88,23.62
1996-09-16,0.0,25.0,23.5,24.88
1996-09-17,0.0,24.88,23.88,24.12
1996-09-18,0.0,24.12,23.62,23.88
1996-09-19,0.0,25.0,23.88,24.38
1996-09-20,0.0,24.88,24.38,24.88
1996-09-23,0.0,25.62,24.62,25.5
1996-09-24,0.0,25.62,24.75,25.12
1996-09-25,0.0,25.25,24.38,24.62
1996-09-26,0.0,24.75,24.38,24.5
1996-09-27,0.0,24.5,23.88,23.94
1996-09-30,0.0,24.12,22.75,22.75
1996-10-01,0.0,23.88,22.62,23.38
1996-10-02,0.0,24.0,23.5,23.62
1996-10-03,0.0,23.75,23.12,23.12
1996-10-04,0.0,23.5,23.25,23.5
1996-10-07,0.0,23.5,23.12,23.25
1996-10-08,0.0,23.5,23.0,23.0
1996-10-09,0.0,23.25,22.38,22.38
1996-10-10,0.0,22.62,22.12,22.25
1996-10-11,0.0,22.75,22.25,22.69
1996-10-14,0.0,22.75,22.38,22.5
1996-10-15,0.0,22.5,21.88,22.0
1996-10-16,0.0,22.12,21.75,21.75
1996-10-17,0.0,22.0,21.38,21.5
1996-10-18,0.0,22.12,21.62,21.88
1996-10-21,0.0,22.12,21.69,21.88
1996-10-22,0.0,22.0,21.38,21.5
1996-10-23,0.0,21.75,21.0,21.62
1996-10-24,0.0,21.75,21.12,21.38
1996-10-25,0.0,22.25,21.38,21.75
1996-10-28,0.0,22.0,21.38,21.38
1996-10-29,0.0,21.62,19.75,20.0
1996-10-30,0.0,20.25,19.62,19.75
1996-10-31,0.0,20.38,19.75,20.38
1996-11-01,0.0,20.62,19.88,20.12
1996-11-04,0.0,20.75,19.88,20.62
1996-11-05,0.0,21.5,20.62,21.5
1996-11-06,0.0,22.0,21.25,21.62
1996-11-07,0.0,22.0,21.25,21.88
1996-11-08,0.0,22.38,21.5,22.0
1996-11-11,0.0,22.75,22.0,22.75
1996-11-12,0.0,22.75,22.25,22.5
1996-11-13,0.0,22.88,22.38,22.75
1996-11-14,0.0,22.88,22.38,22.75
1996-11-15,0.0,23.25,22.62,22.75
1996-11-18,0.0,23.12,22.5,22.75
1996-11-19,0.0,22.88,22.0,22.38
1996-11-20,0.0,24.25,22.0,24.12
1996-11-21,0.0,24.88,24.25,24.25
1996-11-22,0.0,25.25,24.25,25.25
1996-11-25,0.0,25.25,24.25,24.25
1996-11-26,0.0,24.62,23.75,24.5
1996-11-27,0.0,24.5,23.75,24.0
1996-11-29,0.0,24.0,23.62,23.88
1996-12-02,0.0,24.0,23.38,23.62
1996-12-03,0.0,24.75,23.12,24.5
1996-12-04,0.0,25.75,24.25,25.25
1996-12-05,0.0,25.25,24.88,25.0
1996-12-06,0.0,25.12,24.38,25.12
1996-12-09,0.0,25.5,24.88,25.25
1996-12-10,0.0,25.25,24.75,24.75
1996-12-11,0.0,25.25,24.5,24.94
1996-12-12,0.0,25.25,24.88,24.88
1996-12-13,0.0,24.75,24.38,24.5
1996-12-16,0.0,24.88,24.5,24.62
1996-12-17,0.0,25.12,24.38,25.12
1996-12-18,0.0,25.12,24.75,25.0
1996-12-19,0.0,26.0,24.88,25.75
1996-12-20,0.0,26.0,25.62,25.75
1996-12-23,0.0,25.75,25.0,25.25
1996-12-24,0.0,25.25,24.5,24.88
1996-12-26,0.0,25.12,24.75,25.12
1996-12-27,0.0,25.12,24.75,24.75
1996-12-30,0.0,25.38,24.75,24.88
1996-12-31,0.0,25.88,24.88,25.38
1997-01-02,0.0,25.5,25.0,25.12
1997-01-03,0.0,25.88,25.0,25.75
1997-01-06,0.0,26.0,25.62,25.88
1997-01-07,0.0,26.0,25.25,25.5
1997-01-08,0.0,26.12,25.25,25.88
1997-01-09,0.0,27.25,25.88,26.88
1997-01-10,0.0,26.88,26.12,26.25
1997-01-13,0.0,26.75,26.12,26.5
1997-01-14,0.0,26.75,26.25,26.62
1997-01-15,0.0,26.5,26.12,26.12
1997-01-16,0.0,27.62,26.12,27.62
1997-01-17,0.0,27.88,27.0,27.5
1997-01-20,0.0,27.62,27.0,27.0
1997-01-21,0.0,27.25,26.25,27.12
1997-01-22,0.0,28.0,26.88,27.5
1997-01-23,0.0,28.38,27.25,28.0
1997-01-24,0.0,28.38,27.5,28.25
1997-01-27,0.0,28.38,27.38,27.38
1997-01-28,0.0,27.62,26.75,27.38
1997-01-29,0.0,27.62,26.25,26.75
1997-01-30,0.0,27.5,26.62,27.0
1997-01-31,0.0,27.5,26.75,27.25
1997-02-03,0.0,27.62,27.12,27.38
1997-02-04,0.0,27.75,27.25,27.5
1997-02-05,0.0,27.88,27.38,27.38
1997-02-06,0.0,27.75,27.25,27.62
1997-02-07,0.0,28.0,27.62,27.88
1997-02-10,0.0,28.5,27.75,28.12
1997-02-11,0.0,28.5,28.12,28.38
1997-02-12,0.0,29.25,28.25,29.0
1997-02-13,0.0,29.12,28.38,28.62
1997-02-14,0.0,28.88,28.38,28.62
1997-02-18,0.0,28.75,28.5,28.5
1997-02-19,0.0,28.75,28.38,28.5
1997-02-20,0.0,28.5,27.88,27.88
1997-02-21,0.0,28.25,27.62,27.88
1997-02-24,0.0,28.12,27.88,28.12
1997-02-25,0.0,28.12,27.88,27.88
1997-02-26,0.0,28.12,27.5,27.75
1997-02-27,0.0,27.75,27.38,27.38
1997-02-28,0.0,27.5,26.62,27.25
1997-03-03,0.0,28.25,27.25,27.62
1997-03-04,0.0,28.0,27.38,27.62
1997-03-05,0.0,27.75,27.25,27.5
1997-03-06,0.0,27.62,26.5,26.75
1997-03-07,0.0,27.25,26.75,27.12
1997-03-10,0.0,27.25,26.75,27.25
1997-03-11,0.0,27.75,27.12,27.62
1997-03-12,0.0,28.38,27.62,27.88
1997-03-13,0.0,28.0,27.38,27.75
1997-03-14,0.0,27.88,27.25,27.25
1997-03-17,0.0,27.5,27.0,27.25
